,Nombre,Informacion,Servicios,Participacion,Codigo,ID
1,Ancon,2,2,2,ANC,432
2,Ate,4,4,2,ATE,1303
3,Barranco,2,4,2,BAR,1049
4,Brena,2,2,1,BRE,1235
5,Carabayllo,4,2,2,CAR,708
6,Chaclacayo,2,2,2,CHA,1304
7,Chorrillos,4,1,0,CHOR,1046
8,Chosica,0,0,0,CHO,1310
9,Cieneguilla,3,2,2,CIN,1248
10,Comas,3,4,2,COM,1309
11,El Agustino,2,4,0,AGUS,1301
12,Independencia,3,4,2,IND,1305
13,Jesus Maria,2,4,2,JM,1013
14,La Molina,3,4,2,MOL,1233
15,La Victoria,4,2,2,VIC,1232
16,Lince,4,2,2,LIN,556
17,Los Olivos,4,4,2,OLI,1308
18,Lurin,2,1,1,LUR,384
19,Magdalena del Mar,4,1,1,MAG,553
20,Miraflores,4,4,2,MIR,1057
21,Pachacamac,2,1,1,PACH,1230
22,Pucusana,4,1,2,PUC,1038
23,Pueblo Libre,4,2,2,PL,560
24,Puente Piedra,2,2,2,PTE,1313
25,Punta Hermosa,3,1,1,PTH,1150
26,Punta Negra,2,0,0,PTA,1122
27,Rimac,3,1,2,RIM,1302
28,San Bartolo,3,2,2,SBAR,1212
29,San Borja,4,4,2,SBOR,555
30,San Isidro,4,4,2,SANI,552
31,San Juan de Lurigancho,3,1,2,SJL,1311
32,San Juan de Miraflores,2,1,1,SJM,1052
33,San Luis,4,1,0,SL,1129
34,San Martin de Porres,3,4,2,SMP,1307
35,San Miguel,3,4,1,SMG,1130
36,Santa Anita,2,2,2,STAN,1245
37,Santa Maria del Mar,2,1,1,SMAR,1039
38,Santa Rosa,3,2,1,SR,583
39,Santiago de Surco,2,4,2,SSUR,557
40,Surquillo,3,2,2,SURQ,1060
41,Villa El Salvador,2,4,2,VSALV,1149
42,Villa Maria del Triunfo,4,4,1,VMT,1051
